municipio_id,year,isla_id,provincia_id,cmun,dc,nombre
35017,2015,351,35,017,3,"Puerto del Rosario"
35030,2015,351,35,030,4,Tuineje
35001,2015,352,35,001,7,Agaete
35002,2015,352,35,002,2,Agüimes
35020,2015,352,35,020,6,"Aldea de San Nicolás, La"
35005,2015,352,35,005,6,Artenara
35006,2015,352,35,006,9,Arucas
35008,2015,352,35,008,1,Firgas
35009,2015,352,35,009,4,Gáldar
35011,2015,352,35,011,5,Ingenio
35012,2015,352,35,012,0,Mogán
35013,2015,352,35,013,6,Moya
35016,2015,352,35,016,7,"Palmas de Gran Canaria, Las"
35019,2015,352,35,019,2,"San Bartolomé de Tirajana"
35021,2015,352,35,021,3,"Santa Brígida"
35022,2015,352,35,022,8,"Santa Lucía de Tirajana"
35023,2015,352,35,023,4,"Santa María de Guía de Gran Canaria"
35025,2015,352,35,025,2,Tejeda
35026,2015,352,35,026,5,Telde
35027,2015,352,35,027,1,Teror
35032,2015,352,35,032,6,Valleseco
35031,2015,352,35,031,1,"Valsequillo de Gran Canaria"
35033,2015,352,35,033,2,"Vega de San Mateo"
35004,2015,353,35,004,3,Arrecife
35010,2015,353,35,010,8,Haría
35018,2015,353,35,018,9,"San Bartolomé"
35024,2015,353,35,024,9,Teguise
35028,2015,353,35,028,7,Tías
35029,2015,353,35,029,0,Tinajo
35034,2015,353,35,034,7,Yaiza
38002,2015,381,38,002,7,Agulo
38003,2015,381,38,003,3,Alajeró
38021,2015,381,38,021,8,Hermigua
38036,2015,381,38,036,8,"San Sebastián de la Gomera"
38049,2015,381,38,049,1,"Valle Gran Rey"
38050,2015,381,38,050,4,Vallehermoso
38013,2015,382,38,013,1,Frontera
38901,2015,382,38,901,3,"Pinar de El Hierro, El"
38048,2015,382,38,048,8,Valverde
38007,2015,383,38,007,0,Barlovento
38008,2015,383,38,008,6,"Breña Alta"
38009,2015,383,38,009,9,"Breña Baja"
38014,2015,383,38,014,6,"Fuencaliente de la Palma"
38016,2015,383,38,016,2,Garafía
38024,2015,383,38,024,4,"Llanos de Aridane, Los"
38027,2015,383,38,027,6,"Paso, El"
38029,2015,383,38,029,5,Puntagorda
38030,2015,383,38,030,9,Puntallana
